name,cooking_time
Healthy Vegan Red Velvet Brownies,45
Classic Macaroni and Cheese,45
Julia Child's Boeuf Bourguignon,180
Strawberry and Nutella Cobbler,45
Blackberry Pie With Lemon Verbena Whip Cream,45
Apple Roasted Pork Loin,45
Crispy Panko and Herb Crusted Salmon,45
5 Minute Gluten Free Wonder Buns,45
khichdi recipe,30
Wasabi Ice Cream (Wasabi Aisu),45
Jalapeno Cornbread Stuffing,45
Bittersweet chocolate pudding,45
"Guf"" Danish Ice Cream Topping",45
Tropical Ice Pops,45
Hard-Boiled Egg Gratin In A Bechamel Sauce,45
Beef Cottage Pie,45
Easy Eclairs,45
Baked Oatmeal with Dried Cranberries,45
Tzadziki,45
Almond and cranberry shortbread,45
Broccolini Quinoa Pilaf,30
Vegan Peanut Butter Chocolate Fudge,45
Curried Cauliflower Gratin,45
Chocolate Banana Zucchini Cake,45
Slow Cooker Chicken and Dumplings,11
Moosewood Lentil Soup,45
Mango Banana Coconut Smoothie,45
"Vanilla Cream Cakes, Easy and Fluffy Holiday Cakes",45
Chocolate Hazelnut Mousse,45
Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce,45
Jalapeno Cheese Quick Bread,45
White Chocolate Cheesecake With Raspberries,45
Classic Carrot Cake With Cream Cheese Frosting,45
Knishes - Potato Filling,45
Fenugreek Roti,45
Creamy Mushrooms Over Soba Noodles (Vegan),45
Korean Beef Rice Bowl,45
Penne Pasta with Broccoli and Cheese,45
"Beer Can Chicken, Country Style Vegetables with Roasted Garlic",45
Swiss Chard Wraps,45
Healthy Mint Brownies,45
Fresh Herb Omelette,45
Beef Braised In Red Wine,45
"Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (Bánh Xèo)",45
Grilled Guacamole with Pistachios,45
Stir Fried Cabbage and Tomatoes,45
