name,time,preference,cost
5 Minute Gluten Free Wonder Buns,45,4,1.37
Almond and cranberry shortbread,45,5,4.98
Apple Roasted Pork Loin,45,3,3.89
Baked Oatmeal with Dried Cranberries,45,5,6.36
Beef Braised In Red Wine,45,5,7.11
Beef Cottage Pie,45,2,14.66
"Beer Can Chicken, Country Style Vegetables with Roasted Garlic",45,3,17.45
Bittersweet chocolate pudding,45,3,6.03
Blackberry Pie With Lemon Verbena Whip Cream,45,3,17.12
Broccolini Quinoa Pilaf,30,5,4.61
Chocolate Banana Zucchini Cake,45,4,11.37
Chocolate Hazelnut Mousse,45,3,12.46
Classic Carrot Cake With Cream Cheese Frosting,45,5,19.21
Classic Macaroni and Cheese,45,2,13.53
Creamy Mushrooms Over Soba Noodles (Vegan),45,4,15.9
Crispy Panko and Herb Crusted Salmon,45,2,21.31
Curried Cauliflower Gratin,45,4,9.49
Easy Eclairs,45,5,17.83
Fenugreek Roti,45,1,12.41
Fresh Herb Omelette,45,4,1.47
Grilled Guacamole with Pistachios,45,2,14.29
"Guf"" Danish Ice Cream Topping",45,5,1.95
Hard-Boiled Egg Gratin In A Bechamel Sauce,45,4,5.2
Healthy Mint Brownies,45,1,22.03
Healthy Vegan Red Velvet Brownies,45,1,6.65
Jalapeno Cheese Quick Bread,45,3,2.68
Jalapeno Cornbread Stuffing,45,3,4.38
Julia Child's Boeuf Bourguignon,180,2,24.7
Knishes - Potato Filling,45,4,1.99
Korean Beef Rice Bowl,45,4,18.68
Mango Banana Coconut Smoothie,45,3,2.8
Moosewood Lentil Soup,45,4,8.18
Penne Pasta with Broccoli and Cheese,45,4,5.17
Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce,45,1,10.12
Slow Cooker Chicken and Dumplings,11,3,10.12
Stir Fried Cabbage and Tomatoes,45,5,1.33
Strawberry and Nutella Cobbler,45,3,9.94
Swiss Chard Wraps,45,5,4.0
Tropical Ice Pops,45,1,4.89
Tzadziki,45,2,6.74
"Vanilla Cream Cakes, Easy and Fluffy Holiday Cakes",45,4,21.96
Vegan Peanut Butter Chocolate Fudge,45,1,6.47
"Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (Bánh Xèo)",45,4,18.47
Wasabi Ice Cream (Wasabi Aisu),45,2,7.92
White Chocolate Cheesecake With Raspberries,45,2,28.12
khichdi recipe,30,1,3.68
