Name,Time,Cost,Preference
5 Minute Gluten Free Wonder Buns,12.0,1.37,4
Almond and cranberry shortbread,782.0,4.98,5
Apple Roasted Pork Loin,100.0,3.89,3
Baked Oatmeal with Dried Cranberries,70.0,6.36,5
Beef Braised In Red Wine,202.0,7.11,5
Beef Cottage Pie,78.0,14.66,2
"Beer Can Chicken, Country Style Vegetables with Roasted Garlic",90.0,17.45,3
Bittersweet chocolate pudding,25.0,6.03,3
Blackberry Pie With Lemon Verbena Whip Cream,137.0,17.12,3
Broccolini Quinoa Pilaf,25.0,4.61,5
Chocolate Banana Zucchini Cake,70.0,11.37,4
Chocolate Hazelnut Mousse,18.0,12.46,3
Classic Carrot Cake With Cream Cheese Frosting,36.0,19.21,5
Classic Macaroni and Cheese,79.0,13.53,2
Creamy Mushrooms Over Soba Noodles (Vegan),39.0,15.9,4
Crispy Panko and Herb Crusted Salmon,61.0,21.31,2
Curried Cauliflower Gratin,64.0,9.49,4
Easy Eclairs,241.0,17.83,5
Fenugreek Roti,176.0,12.41,1
Fresh Herb Omelette,11.0,1.47,4
Grilled Guacamole with Pistachios,26.0,14.29,2
"Guf"" Danish Ice Cream Topping",43.0,1.95,5
Hard-Boiled Egg Gratin In A Bechamel Sauce,52.0,5.2,4
Healthy Mint Brownies,143.0,22.03,1
Healthy Vegan Red Velvet Brownies,130.0,6.65,1
Jalapeno Cheese Quick Bread,90.0,2.68,3
Jalapeno Cornbread Stuffing,51.0,4.38,3
Julia Child's Boeuf Bourguignon,175.0,24.7,2
Knishes - Potato Filling,15.0,1.99,4
Korean Beef Rice Bowl,38.0,18.68,4
Mango Banana Coconut Smoothie,15.0,2.8,3
Moosewood Lentil Soup,75.0,8.18,4
Penne Pasta with Broccoli and Cheese,20.0,5.17,4
Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce,34.0,10.12,1
Slow Cooker Chicken and Dumplings,360.0,10.12,3
Stir Fried Cabbage and Tomatoes,25.0,1.33,5
Strawberry and Nutella Cobbler,80.0,9.94,3
Swiss Chard Wraps,26.0,4.0,5
Tropical Ice Pops,194.0,4.89,1
Tzadziki,125.0,6.74,2
"Vanilla Cream Cakes, Easy and Fluffy Holiday Cakes",570.0,21.96,4
Vegan Peanut Butter Chocolate Fudge,77.0,6.47,1
"Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (Bánh Xèo)",75.0,18.47,4
Wasabi Ice Cream (Wasabi Aisu),253.0,7.92,2
White Chocolate Cheesecake With Raspberries,315.0,28.12,2
khichdi recipe,70.0,3.68,1
